36430,9,20
44021,8,21
14294,7,8
22945,8,9
19762,8,11
13552,8,9
13410,7,9
21374,10,12
15097,7,10
24332,9,13
16114,6,7
17286,8,9
14833,8,7
54144,8,29
19230,10,9
14061,2,16
114421,9,15
143786,10,18
13320,6,6
23002,8,9
17392,8,8
14657,7,7
12834,9,9
168776,10,21
16131,7,8
13919,4,6
163879,9,18
23901,9,11
20065,8,8
10772,4,12
17408,8,8
18845,8,9
15771,9,8
8908,2,11
15987,7,8
13081,7,6
18671,11,12
15114,7,7
16132,6,7
9358,8,5
23847,8,8
15156,10,10
25256,8,13
43952,9,25
12815,9,8
25394,8,11
10823,4,12
25494,8,8
14430,9,6
19298,6,6
21583,9,11
14948,8,10
21985,8,11
19170,7,8
20580,8,11
16870,9,6
38902,9,23
15856,8,9
15873,8,9
14445,6,7
19637,7,9
10349,9,7
20871,7,9
23265,10,11
10888,7,7
10142,6,5
12338,5,12
12752,8,5
198141,10,25
12242,8,7
8961,8,6
11448,5,5
12163,9,7
18078,6,8
24787,8,9
14732,4,4
17777,8,9
157975,9,18
18566,7,8
158879,10,21
220850,10,27
16814,8,10
10516,2,12
35040,8,20
14515,7,8
30182,8,19
10964,6,4
10728,5,5
17420,8,9
14496,9,9
10441,4,6
42624,9,27
47790,9,25
16871,8,9
10800,4,5
11892,7,7
13719,6,8
21878,8,8
7245,1,9
234795,10,29
229664,10,27
44330,9,24
11362,3,14
22401,9,9
10554,5,5
27196,9,17
14977,8,9
20154,9,10
204807,10,26
152894,10,19
18893,9,9
20647,10,10
8042,2,10
10880,5,6
20146,7,5
21009,10,12
13688,7,7
18111,7,7
143824,9,17
15775,7,10
19206,8,10
14734,8,6
14864,6,7
48650,9,28
7855,2,9
28964,7,8
13003,9,9
103370,9,13
15338,8,8
139001,8,18
20765,7,11
9793,6,6
11803,7,6
8096,2,11
25020,9,14
14745,7,8
13204,6,6
16716,8,8
13810,8,7
13584,9,9
9128,2,11
15262,6,6
332338,11,109
14898,7,7
12246,3,13
19614,7,8
18436,8,9
377504,11,114
17703,5,8
14342,5,6
17311,9,11
16107,7,7
13343,6,5
14989,8,7
45688,9,28
18576,7,10
19391,9,11
11737,6,6
14609,9,10
13280,6,7
19407,7,9
21208,8,10
12463,6,7
400918,11,108
17670,7,7
17578,9,9
16394,6,9
21586,6,6
24830,10,9
16750,9,9
20472,9,12
11102,6,6
15225,8,10
14420,7,9
17114,7,9
16627,8,9
51922,9,28
11346,6,6
341965,11,97
17238,9,8
19460,9,10
11544,9,8
18151,8,10
1357220,11,59
14778,6,7
16151,6,8
164066,10,21
21100,8,11
5268,1,6
15236,8,8
30236,9,17
41720,9,25
355834,11,110
109804,8,15
131307,9,15
12488,6,5
13564,8,9
9232,2,13
29550,7,19
42974,8,23
17193,9,10
14510,7,7
19604,7,9
12276,8,7
17265,7,9
16213,7,8
14769,7,6
16488,4,5
20243,8,11
7814,5,5
13820,8,7
16604,8,7
14534,7,6
38524,9,26
11214,8,7
10724,4,5
7800,6,5
8754,4,11
11841,6,6
21318,6,9
15572,6,6
23434,8,11
16750,9,7
17270,9,11
13773,7,7
177449,10,24
12237,9,5
12074,7,7
323070,11,108
8239,2,11
9802,6,5
14270,6,6
16931,7,10
1336316,11,77
17182,6,8
23940,9,16
15061,6,7
16778,8,8
12634,6,7
17516,7,7
18165,8,8
8696,7,4
12717,8,9
106708,8,15
16982,6,7
161585,8,21
20756,8,7
20465,8,11
21204,8,10
341874,11,100
20026,8,10
18058,9,9
9934,1,12
11931,7,7
238682,10,31
11890,4,13
9037,3,13
14562,8,9
20715,8,9
21697,6,8
11219,3,12
16437,7,11
19176,7,7
145776,9,18
22699,10,14
13578,7,5
15521,9,10
29986,9,17
9967,3,10
31804,8,18
23913,9,11
174115,10,22
15505,8,8
10281,3,14
16756,9,9
18805,8,9
48342,9,27
9772,8,6
20473,7,8
7267,1,11
18437,6,6
19440,6,6
17214,9,10
14480,9,8
888,1,1
11659,7,8
7612,3,10
21423,7,12
